Gene,Peak,Distance
Srek1ip1,chr13:105188412-105189267,395928.0
Ipo11,chr13:105188412-105189267,1606027.0
Ndufs4,chr13:114199692-114200533,88103.0
Mocs2,chr13:114199692-114200533,618544.0
Gm3020,chr14:4334134-4335072,682104.0
Synpr,chr14:11474904-11475827,1809876.0
Ngly1,chr14:20778221-20779096,4528941.0
Vdac2,chr14:21439530-21440419,385708.0
Comtd1,chr14:21439530-21440419,406325.0
Tmem254c,chr14:27105714-27106635,1041795.0
Cacna2d3,chr14:27957598-27958495,947345.0
Itih3,chr14:29946518-29947392,962054.0
Sh3bp5,chr14:29946518-29947392,1413362.0
Fermt2,chr14:44087315-44088210,1371480.0
Apex1,chr14:52010235-52011128,1085267.0
Dad1,chr14:54001786-54002684,233693.0
Mrpl52,chr14:54001786-54002684,425123.0
Rem2,chr14:54001786-54002684,474314.0
Psmb5,chr14:54001786-54002684,612333.0
Myh7,chr14:54001786-54002684,968898.0
Ap1g2,chr14:54001786-54002684,1096789.0
Pspc1,chr14:54001786-54002684,2718924.0
Ift88,chr14:59548812-59549661,2124750.0
Cab39l,chr14:59548812-59549661,107840.0
Atp8a2,chr14:59548812-59549661,89728.0
Spryd7,chr14:60533562-60534422,998431.0
Rnaseh2b,chr14:62585145-62585928,292556.0
Clu,chr14:65685126-65685982,283357.0
Ephx2,chr14:65685126-65685982,399248.0
Dock5,chr14:67536994-67537842,215141.0
Polr3d,chr14:70061732-70062480,377025.0
Rb1,chr14:73709321-73710220,525648.0
Esd,chr14:75235724-75236580,503427.0
Gpalpp1,chr14:76239554-76240431,153318.0
Nufip1,chr14:76239554-76240431,128663.0
Mtrf1,chr14:79487071-79487873,89299.0
Sugt1,chr14:79487071-79487873,100620.0
Mycbp2,chr14:102769568-102770417,343843.0
Tmtc4,chr14:122857701-122858515,61270.0
Rpl37,chr15:4220710-4221559,895935.0
Rai14,chr15:11749314-11750155,1180345.0
Tars,chr15:11749314-11750155,367013.0
Golph3,chr15:12362458-12363201,41008.0
Dnah5,chr15:28653921-28654813,450169.0
Mtdh,chr15:35302415-35303342,1219721.0
Matn2,chr15:35302415-35303342,995738.0
Cox6c,chr15:35302415-35303342,623471.0
Derl1,chr15:58517162-58518040,647660.0
Chrac1,chr15:73549366-73550174,458974.0
Zfp623,chr15:76099590-76100313,158638.0
Gm22107,chr15:78514312-78515207,673655.0
Eif3d,chr15:78514312-78515207,555314.0
Polr2f,chr15:78735353-78736267,405656.0
Mief1,chr15:80358653-80359534,124635.0
Polr3h,chr15:81252644-81253342,635584.0
Naga,chr15:82917362-82918170,587830.0
Ndufa6,chr15:82917362-82918170,567222.0
Pnpla3,chr15:84531263-84532100,363426.0
Fam118a,chr15:84531263-84532100,497685.0
Creld2,chr15:88998730-88999567,179084.0
Lmf2,chr15:88998730-88999567,352274.0
Rabl2,chr15:90123846-90124726,541313.0
Cpne8,chr15:90123846-90124726,363636.0
Kif21a,chr15:91018304-91019139,85028.0
Pdzrn4,chr15:93485516-93486433,1088635.0
Asb8,chr15:98628473-98629346,493836.0
Ddx23,chr15:98628473-98629346,16661.0
Spats2,chr15:98628473-98629346,497443.0
Cox14,chr15:100636472-100637356,910825.0
Galnt6,chr15:100636472-100637356,55341.0
Tarbp2,chr15:102998975-102999870,480783.0
Atp5g2,chr15:102998975-102999870,336111.0
Nubp1,chr16:10280020-10280896,131928.0
Rrn3,chr16:12824547-12825382,956161.0
Myh11,chr16:15520714-15521567,1326179.0
Thap7,chr16:17335976-17336781,192006.0
Lsg1,chr16:30475671-30476531,84823.0
Acap2,chr16:30475671-30476531,616741.0
Ppp1r2,chr16:30475671-30476531,775866.0
Wdr53,chr16:33829529-33830289,1582302.0
Iqcg,chr16:33829529-33830289,816846.0
Ccdc58,chr16:35710757-35711659,360928.0
Phldb2,chr16:45714325-45715242,31918.0
Ift57,chr16:50147717-50148573,448484.0
Filip1l,chr16:57359038-57359910,5945.0
Mrpl39,chr16:84681750-84682620,35826.0
Atp5j,chr16:84681750-84682620,146116.0
App,chr16:84681750-84682620,267935.0
Cyyr1,chr16:84681750-84682620,739783.0
Usp16,chr16:87729057-87729998,274354.0
Ifngr2,chr16:91313977-91314844,233095.0
Dnajc28,chr16:91313977-91314844,300277.0
Son,chr16:91313977-91314844,333529.0
Smim11,chr16:91313977-91314844,987309.0
Erg,chr16:94931436-94932366,427733.0
Spag6,chr2:18622978-18623899,71054.0
Phyh,chr2:5019379-5020305,100360.0
Optn,chr2:5019379-5020305,1263.0
Atp5c1,chr2:10023926-10024755,32090.0
Kin,chr2:10023926-10024755,56667.0
Rsu1,chr2:13175152-13176022,98331.0
Vim,chr2:13398768-13399643,175159.0
Apbb1ip,chr2:21269756-21270599,1504338.0
Ptgds,chr2:24755093-24755978,711616.0
Edf1,chr2:24755093-24755978,802754.0
Rabl6,chr2:24755093-24755978,827925.0
Egfl7,chr2:26503425-26504303,76589.0
Coq4,chr2:29820003-29820916,32510.0
BC005624,chr2:31995758-31996671,1023581.0
Gm22516,chr2:31995758-31996671,806067.0
Ass1,chr2:31995758-31996671,525551.0
Nup214,chr2:31995758-31996671,21322.0
Gsn,chr2:33353168-33354033,1903212.0
Lhx6,chr2:37768654-37769542,1686701.0
Ppp6c,chr2:38350589-38351494,843765.0
Orc4,chr2:51480231-51481128,2577407.0
Kif5c,chr2:51480231-51481128,1860933.0
Mmadhc,chr2:51480231-51481128,1200350.0
Slc4a10,chr2:62573038-62573878,526576.0
Gad1,chr2:71492693-71493625,939621.0
Tlk1,chr2:71492693-71493625,780286.0
Mettl8,chr2:71492693-71493625,528132.0
Dync1i2,chr2:71492693-71493625,280987.0
Cdca7,chr2:73125554-73126373,649395.0
Atp5g3,chr2:73847397-73848294,61050.0
Pde11a,chr2:75879530-75880404,109611.0
Neurod1,chr2:78579810-78580707,872711.0
Psmc3,chr2:91285822-91286574,231813.0
Mdk,chr2:91963235-91964128,33430.0
Eif3m,chr2:105719440-105720200,719784.0
Immp1l,chr2:105719440-105720200,185198.0
Ryr3,chr2:113015631-113016575,384276.0
Snap23,chr2:119816838-119817722,750833.0
Lcmt2,chr2:121413345-121414261,285038.0
Hypk,chr2:121413345-121414261,39945.0
Frmd5,chr2:121583358-121584045,37829.0
Bloc1s6,chr2:122558054-122558951,180449.0
Mrps5,chr2:125354676-125355482,2232546.0
Mal,chr2:125354676-125355482,2278550.0
Nphp1,chr2:125354676-125355482,2386056.0
Zc3h8,chr2:130653032-130653943,1726764.0
Ebf4,chr2:130653032-130653943,357863.0
Cpxm1,chr2:130653032-130653943,262257.0
Ddrgk1,chr2:130653032-130653943,928.0
Adam33,chr2:131126912-131127809,76321.0
Tmx4,chr2:134976510-134977435,382325.0
Snap25,chr2:137954587-137955488,1241134.0
Cst3,chr2:148408972-148409824,462750.0
Pygb,chr2:149951514-149952312,835221.0
Nsfl1c,chr2:151930203-151931047,436021.0
Rpn2,chr2:157362026-157362899,83009.0
Tox2,chr2:162976021-162976746,227104.0
Stau1,chr2:166650164-166650987,297385.0
Nfatc2,chr2:168343432-168344319,132978.0
Atp5e,chr2:174602937-174603847,141865.0
Gm14443,chr2:175136622-175137550,29633.0
Phactr3,chr2:178296943-178297829,177968.0
Psma7,chr2:179679553-179680417,356821.0
Mrgbp,chr2:180947594-180948414,366290.0
Gid8,chr2:180947594-180948414,237477.0
Chrna4,chr2:180947594-180948414,70786.0
Snx9,chr17:5804494-5805412,36835.0
Tmem181a,chr17:6000888-6001688,255972.0
Ezr,chr17:6000888-6001688,737153.0
Pde10a,chr17:8463249-8464140,62123.0
Phf10,chr17:12249666-12250554,2695343.0
Tbp,chr17:12249666-12250554,3250222.0
Zfp229,chr17:23677031-23677880,1946236.0
Thoc6,chr17:23677031-23677880,8417.0
Flywch2,chr17:23677031-23677880,99885.0
Srrm2,chr17:23677031-23677880,113501.0
Rnps1,chr17:24436867-24437789,22302.0
Msrb1,chr17:24436867-24437789,299775.0
Gng13,chr17:25520500-25521234,196671.0
Uqcc2,chr17:26595968-26596839,526695.0
Rps10,chr17:28290104-28291003,659686.0
Ppard,chr17:28290104-28291003,57404.0
Fance,chr17:28290104-28291003,23415.0
Fkbp5,chr17:28290104-28291003,108990.0
Cpne5,chr17:28769663-28770502,385893.0
Zfp870,chr17:31639454-31640291,1239765.0
Zfp414,chr17:35549273-35550183,1920183.0
Slc39a7,chr17:35549273-35550183,1521004.0
Clic5,chr17:43915931-43916837,218837.0
Cdc5l,chr17:45596740-45597610,204856.0
Rsph9,chr17:46050173-46050952,71862.0
Dlk2,chr17:46050173-46050952,247248.0
Mrpl2,chr17:46858346-46858986,212117.0
Rab31,chr17:67499992-67500868,1848263.0
Myl12a,chr17:70169772-70170602,823884.0
Spast,chr17:73817673-73818476,521314.0
Fez2,chr17:79068659-79069413,699447.0
Gpatch11,chr17:79068659-79069413,233092.0
Eif2ak2,chr17:79068659-79069413,216095.0
Plekhh2,chr17:84148556-84149463,363339.0
Mcfd2,chr17:87049389-87050062,205054.0
Calm2,chr17:87049389-87050062,384023.0
Kif5b,chr18:4907997-4908789,1293005.0
Rab18,chr18:4907997-4908789,1825908.0
Mpp7,chr18:4907997-4908789,2439962.0
Thoc1,chr18:10516725-10517645,558819.0
Tmem241,chr18:10976503-10977321,987947.0
Ankrd29,chr18:10976503-10977321,1275859.0
Osbpl1a,chr18:14478092-14478937,1722778.0
Ss18,chr18:14486973-14487879,137225.0
Pik3c3,chr18:30963915-30964725,691168.0
Nme5,chr18:34405594-34406342,157040.0
Hbegf,chr18:36541222-36542004,36295.0
Hars,chr18:36541222-36542004,225306.0
Rell2,chr18:37835340-37836092,119739.0
Ap3s1,chr18:45896507-45897428,845369.0
Commd10,chr18:45896507-45897428,1062309.0
Hsd17b4,chr18:49998334-49999201,129867.0
Snx2,chr18:53160598-53161484,15718.0
Gramd3,chr18:56608552-56609390,208215.0
Aldh7a1,chr18:56608552-56609390,98865.0
Rps14,chr18:60490945-60491852,256153.0
Grpel2,chr18:61874452-61875346,162028.0
Sh3tc2,chr18:61874452-61875346,78623.0
Fech,chr18:64471249-64472116,18335.0
Cep192,chr18:67989457-67990270,189350.0
Nfatc1,chr18:80605424-80606157,781.0
Mbp,chr18:82585077-82585976,109931.0
Rttn,chr18:90508036-90508824,1536246.0
Mrpl21,chr19:4971369-4972276,1688468.0
Cpt1a,chr19:4971369-4972276,1649035.0
Brms1,chr19:4971369-4972276,69985.0
Sf3b2,chr19:5161697-5162579,112235.0
Sart1,chr19:5521357-5522230,143834.0
Efemp2,chr19:5521357-5522230,47403.0
Rela,chr19:5521357-5522230,116126.0
Dnajc4,chr19:7152968-7153848,165057.0
Rcor2,chr19:7152968-7153848,114357.0
Taf6l,chr19:9878211-9879104,1103724.0
Tmem258,chr19:10416932-10417699,212918.0
Fam111a,chr19:10818184-10819072,1727556.0
Gm6563,chr19:23995611-23996530,319763.0
Fam189a2,chr19:23995611-23996530,22861.0
Smarca2,chr19:27134103-27134998,529053.0
Ak3,chr19:28464273-28464945,556560.0
Minpp1,chr19:34880859-34881741,2395090.0
Myof,chr19:37233574-37234457,665462.0
Hells,chr19:38783503-38784400,147412.0
Exosc1,chr19:41745741-41746654,176551.0
Hps1,chr19:41745741-41746654,1009364.0
Dnmbp,chr19:44245699-44246457,398878.0
Afap1l2,chr19:56877197-56878100,35164.0
Atrnl1,chr19:58076543-58077451,465509.0
Emx2,chr19:59043466-59044405,414906.0
Prdx3,chr19:59043466-59044405,1820585.0
Prex2,chr1:10570561-10571452,422904.0
Sulf1,chr1:12452742-12453658,239535.0
Terf1,chr1:15358185-15359074,447461.0
Tmem70,chr1:15358185-15359074,1307022.0
Sema4c,chr1:37676808-37677542,1128169.0
Mrpl30,chr1:38011756-38012570,121279.0
Eif5b,chr1:38011756-38012570,13746.0
Rev1,chr1:38011756-38012570,41030.0
Aff3,chr1:38154061-38154960,23265.0
Rpl31,chr1:39093033-39093875,274809.0
Tbc1d8,chr1:39093033-39093875,278459.0
Wdr75,chr1:45765897-45766772,29269.0
Dnah7b,chr1:45765897-45766772,300418.0
Als2,chr1:59535131-59535989,372205.0
Ica1l,chr1:59943720-59944594,38770.0
Wdr12,chr1:59943720-59944594,126065.0
Cyp20a1,chr1:59943720-59944594,399603.0
Pecr,chr1:72413990-72414870,154823.0
Xrcc5,chr1:72413990-72414870,106563.0
Rpl37a,chr1:72966087-72966980,254797.0
Arpc2,chr1:74098158-74099057,137926.0
Plcd4,chr1:74098158-74099057,444730.0
Dnajb2,chr1:75692806-75693717,456400.0
Farsb,chr1:77496536-77497392,921439.0
Sp100,chr1:85775906-85776780,125918.0
Ptma,chr1:86598319-86599143,71593.0
Lrrfip1,chr1:92376238-92377052,1377501.0
Ndufa10,chr1:92376238-92377052,62772.0
Capn10,chr1:93183989-93184822,249613.0
Kif1a,chr1:93183989-93184822,168525.0
Dtymk,chr1:93211406-93212222,581170.0
Ing5,chr1:93211406-93212222,592559.0
Ptpn4,chr1:119259279-119259938,393188.0
Dbi,chr1:119259279-119259938,854001.0
Tmem163,chr1:127430027-127430878,56519.0
R3hdm1,chr1:128551547-128552445,448246.0
Igfn1,chr1:135852057-135852983,101521.0
Tpr,chr1:151977326-151978158,1584488.0
Rgsl1,chr1:154065649-154066547,286268.0
Soat1,chr1:156558339-156559192,133814.0
Gm10176,chr1:162529424-162530291,51744.0
Prrc2c,chr1:162579071-162579951,91654.0
Kifap3,chr1:162579071-162579951,1200512.0
Atp1b1,chr1:164997463-164998240,560354.0
Mpc2,chr1:165634102-165634981,173465.0
Rgs7,chr1:174589346-174590263,469741.0
Fh1,chr1:174589346-174590263,1011028.0
Itpkb,chr1:180520016-180520889,189531.0
Sde2,chr1:180936440-180937187,85313.0
Cnih4,chr1:181172339-181173252,27646.0
Srp9,chr1:181878139-181879029,246598.0
Capn2,chr1:182483507-182484434,16247.0
Disp1,chr1:183167543-183168325,81277.0
Bpnt1,chr1:185572815-185573659,240666.0
Lyplal1,chr1:186390447-186391333,302716.0
Smyd2,chr1:190729342-190730256,848850.0
Nenf,chr1:191258851-191259754,47938.0
Impa1,chr3:9571999-9572891,739957.0
E2f5,chr3:14862579-14863455,283938.0
Car2,chr3:14862579-14863455,23694.0
Cp,chr3:19987809-19988645,30755.0
Fndc3b,chr3:28402102-28402859,985940.0
Pld1,chr3:28402102-28402859,463407.0
Fxr1,chr3:34080849-34081769,60906.0
Dnajc19,chr3:34080849-34081769,24829.0
Bbs7,chr3:36524273-36525135,48869.0
Gm22043,chr3:42218613-42219549,1225920.0
Elf2,chr3:51275800-51276693,23080.0
Ndufc1,chr3:51275800-51276693,128877.0
Ufm1,chr3:53756019-53756882,97357.0
Med12l,chr3:58054128-58055053,951697.0
Igsf10,chr3:58054128-58055053,1262607.0
Lxn,chr3:68245923-68246813,787925.0
Golim4,chr3:79956491-79957346,4081407.0
Gria2,chr3:80724943-80725855,43493.0
Plrg1,chr3:82725278-82726106,330244.0
Rps3a1,chr3:85714098-85714949,423842.0
Kirrel,chr3:86976263-86977179,102330.0
Ube2q1,chr3:87247039-87247918,2526577.0
Il6ra,chr3:87247039-87247918,2617020.0
Ubap2l,chr3:87247039-87247918,2753101.0
Slc39a1,chr3:87247039-87247918,3001133.0
Dennd4b,chr3:87247039-87247918,3018146.0
Snapin,chr3:93596960-93597861,3108934.0
S100a1,chr3:93596960-93597861,3085926.0
S100a13,chr3:93596960-93597861,3082525.0
Tdrkh,chr3:94366536-94367424,46737.0
Acp6,chr3:97509130-97509908,350353.0
Trim45,chr3:100635980-100636870,286222.0
Vangl1,chr3:102061918-102062894,91665.0
Dram2,chr3:107089788-107090655,541990.0
Kcnc4,chr3:107089788-107090655,348515.0
Scarna2,chr3:108721854-108722783,167516.0
Rnpc3,chr3:109568712-109569499,4036355.0
Trmt13,chr3:117664034-117664934,1082941.0
Dpyd,chr3:117664034-117664934,898095.0
Cnn3,chr3:121697000-121697805,270503.0
Arhgap29,chr3:121697000-121697805,255541.0
Bcar3,chr3:122365152-122366026,71016.0
Gm9396,chr3:130094927-130095849,26515.0
Ppp3ca,chr3:137512707-137513636,842583.0
Lamtor3,chr3:138083013-138083862,164507.0
Gtf2b,chr3:143100510-143101301,335465.0
Odf2l,chr3:144579731-144580644,538857.0
Bcl10,chr3:145705063-145705911,217741.0
Ssx2ip,chr3:146337664-146338566,66978.0
Ttll7,chr3:146908685-146909600,56318.0
Zranb2,chr3:157137249-157138120,396911.0
Ankrd13c,chr3:158137364-158138111,190125.0
Srsf11,chr3:158137364-158138111,126891.0
Ndufaf6,chr4:12247680-12248560,1196635.0
Rmdn1,chr4:19522797-19523636,52365.0
Manea,chr4:25725425-25726286,599081.0
Lyrm2,chr4:32872129-32873039,71876.0
Aco1,chr4:41029126-41030054,886045.0
Ndufb6,chr4:41029126-41030054,758535.0
Bag1,chr4:41029126-41030054,92728.0
Ubap2,chr4:41029126-41030054,165187.0
Sigmar1,chr4:41029126-41030054,709367.0
Tpm2,chr4:43434142-43434769,80569.0
Exosc3,chr4:45259096-45259912,57517.0
Nans,chr4:46450544-46451409,38704.0
Tgfbr1,chr4:47247567-47248381,105655.0
Alad,chr4:63977108-63977993,1467939.0
Col27a1,chr4:63977108-63977993,763104.0
Ptprd,chr4:75961732-75962679,20494.0
Frem1,chr4:82901687-82902618,3767.0
Ift74,chr4:95476156-95477039,861665.0
Raver2,chr4:101568601-101569483,499618.0
Wdr78,chr4:103321319-103322212,283254.0
Oma1,chr4:103321319-103322212,7507.0
Prpf38a,chr4:109231086-109232012,667914.0
Ccdc163,chr4:116781953-116782822,73444.0
Tmem125,chr4:118444804-118445620,96137.0
Macf1,chr4:123110660-123111388,238973.0
Sf3a3,chr4:124570782-124571668,143994.0
Psmb2,chr4:125756158-125757037,921472.0
Zbtb8os,chr4:129272458-129273328,63237.0
Hdac1,chr4:129272458-129273328,243646.0
Eif3i,chr4:129784875-129785764,192915.0
Col16a1,chr4:129971775-129972624,76065.0
Tinagl1,chr4:130245840-130246728,81386.0
Taf12,chr4:132474364-132475246,199989.0
Nudc,chr4:133479552-133480456,52990.0
Pdik1l,chr4:134623941-134624802,348939.0
Srrm1,chr4:135221627-135222513,98857.0
Rpl11,chr4:136324045-136324933,295780.0
Kdm1a,chr4:136722314-136723147,171774.0
Ephb2,chr4:136722314-136723147,74775.0
C1qb,chr4:136783479-136784376,96650.0
Hp1bp3,chr4:138597690-138598584,381394.0
Gm16287,chr4:138943465-138944346,231940.0
Akr7a5,chr4:139451256-139452168,140512.0
Slc25a34,chr4:141343355-141344212,275469.0
Fhad1,chr4:142339706-142340584,449268.0
Mthfr,chr4:148378204-148379060,339127.0
Fbxo2,chr4:148378204-148379060,217583.0
Kif1b,chr4:149395282-149396122,218963.0
Rpl22,chr4:152447886-152448812,122144.0
Chd5,chr4:152447886-152448812,109235.0
Atad3a,chr4:155959024-155959887,218383.0
Akap9,chr5:13628644-13629513,9700590.0
Dbf4,chr5:13628644-13629513,5231671.0
Pclo,chr5:14539454-14540197,24536.0
Gnai1,chr5:20293636-20294565,2028501.0
Kmt2e,chr5:23074503-23075260,359938.0
Actr3b,chr5:24960539-24961446,799458.0
